CMDLINE c:\python3\python.exe comparison.py
CHLD 3 77.988281 1544336424.4193
MEM 78.847656 1544336424.5201
CHLD 0 78.113281 1544336424.5321
CHLD 1 78.031250 1544336424.5321
CHLD 2 78.121094 1544336424.5321
CHLD 3 78.066406 1544336424.5321
MEM 78.847656 1544336424.6349
CHLD 0 78.113281 1544336424.6707
CHLD 1 78.031250 1544336424.6707
CHLD 2 78.121094 1544336424.6707
CHLD 3 78.066406 1544336424.6707
MEM 78.847656 1544336424.7740
CHLD 0 78.113281 1544336424.8052
CHLD 1 78.031250 1544336424.8052
CHLD 2 78.121094 1544336424.8052
CHLD 3 78.066406 1544336424.8052
MEM 78.847656 1544336424.9157
CHLD 0 78.113281 1544336424.9451
CHLD 1 78.031250 1544336424.9451
CHLD 2 78.121094 1544336424.9451
CHLD 3 78.066406 1544336424.9451
MEM 78.847656 1544336425.0545
CHLD 0 78.113281 1544336425.0846
CHLD 1 78.031250 1544336425.0846
CHLD 2 78.121094 1544336425.0846
CHLD 3 78.066406 1544336425.0846
MEM 78.847656 1544336425.1851
CHLD 0 78.113281 1544336425.2109
CHLD 1 78.031250 1544336425.2109
CHLD 2 78.121094 1544336425.2109
CHLD 3 78.066406 1544336425.2109
MEM 78.847656 1544336425.3217
CHLD 0 78.113281 1544336425.3548
CHLD 1 78.031250 1544336425.3548
CHLD 2 78.121094 1544336425.3548
CHLD 3 78.066406 1544336425.3548
MEM 78.847656 1544336425.4621
CHLD 0 78.726562 1544336425.4933
CHLD 1 78.152344 1544336425.4933
CHLD 2 78.460938 1544336425.4933
CHLD 3 78.750000 1544336425.4933
MEM 78.867188 1544336425.6091
CHLD 0 78.726562 1544336425.6091
CHLD 1 78.300781 1544336425.6091
CHLD 2 78.460938 1544336425.6091
CHLD 3 78.757812 1544336425.6091
MEM 78.867188 1544336425.7097
CHLD 0 78.726562 1544336425.7253
CHLD 1 78.300781 1544336425.7253
CHLD 2 78.460938 1544336425.7253
CHLD 3 78.757812 1544336425.7253
MEM 78.792969 1544336425.8262
